Cremastocheilus,Scarabaeidae,Coleoptera
Crematogaster,Formicidae,Hymenoptera
Creontiades,Miridae,Hemiptera
Creophilus,Staphylinidae,Coleoptera
Crepidodera,Chrysomelidae,Coleoptera
Crimona,Noctuidae,Lepidoptera
Crinodes,Notodontidae,Lepidoptera
Crioceris,Chrysomelidae,Coleoptera
Crioprosopus,Cerambycidae,Coleoptera
Criorhina,Syrphidae,Diptera
Crioscolia,Scoliidae,Hymenoptera
Crocidomera,Pyralidae,Lepidoptera
Crocidophora,Crambidae,Lepidoptera
Crocidosema,Tortricidae,Lepidoptera
Crocigrapha,Noctuidae,Lepidoptera
Crocothemis,Libellulidae,Odonata
Cropia,Noctuidae,Lepidoptera
Crossidius,Cerambycidae,Coleoptera
Crossocerus,Crabronidae,Hymenoptera
Crumomyia,Sphaeroceridae,Diptera
Cryphia,Noctuidae,Lepidoptera
Cryphocricos,Naucoridae,Hemiptera
Cryphula,Rhyparochromidae,Hemiptera
Cryptamorpha,Silvanidae,Coleoptera
Cryptarcha,Nitidulidae,Coleoptera
Cryptaspasma,Tortricidae,Lepidoptera
Cryptobotys,Crambidae,Lepidoptera
Cryptocala,Noctuidae,Lepidoptera
Cryptocephalus,Chrysomelidae,Coleoptera
Cryptocercus,Cryptocercidae,Blattodea
Cryptocheilus,Pompilidae,Hymenoptera
Cryptochetum,Cryptochetidae,Diptera
Cryptococcus,Eriococcidae,Hemiptera
Cryptoglossa,Tenebrionidae,Coleoptera
Cryptolaemus,Coccinellidae,Coleoptera
Cryptolepidus,Curculionidae,Coleoptera
Cryptoneossa,Aphalaridae,Hemiptera
Cryptophagus,Cryptophagidae,Coleoptera
Cryptophilus,Erotylidae,Coleoptera
Cryptorhopalum,Dermestidae,Coleoptera
Cryptorhynchus,Curculionidae,Coleoptera
Cryptothelea,Psychidae,Lepidoptera
Cryptoxilos,Braconidae,Hymenoptera
Cryptus,Ichneumonidae,Hymenoptera
Ctenarytaina,Aphalaridae,Hemiptera
Ctenicera,Elateridae,Coleoptera
Ctenocephalides,Pulicidae,Siphonaptera
Ctenolepisma,Lepismatidae,Zygentoma
Ctenophora,Tipulidae,Diptera
Ctenoplusia,Noctuidae,Lepidoptera
Ctenotrachelus,Reduviidae,Hemiptera
Ctenucha,Erebidae,Lepidoptera
Cucujus,Cucujidae,Coleoptera
Cucullia,Noctuidae,Lepidoptera
Cuerna,Cicadellidae,Hemiptera
Culex,Culicidae,Diptera
Culicoides,Ceratopogonidae,Diptera
Culiseta,Culicidae,Diptera
Cultellunguis,Cantharidae,Coleoptera
Cultus,Perlodidae,Plecoptera
Cupes,Cupedidae,Coleoptera
Cupido,Lycaenidae,Lepidoptera
Curculio,Curculionidae,Coleoptera
Curicta,Nepidae,Hemiptera
Curimopsis,Byrrhidae,Coleoptera
Curinus,Coccinellidae,Coleoptera
Curius,Cerambycidae,Coleoptera
Curranops,Ulidiidae,Diptera
Curtomerus,Cerambycidae,Coleoptera
Curtonotum,Curtonotidae,Diptera
Cuterebra,Oestridae,Diptera
Cutina,Erebidae,Lepidoptera
Cyanophrys,Lycaenidae,Lepidoptera
Cyanus,Calliphoridae,Diptera
Cyarda,Flatidae,Hemiptera
Cybister,Dytiscidae,Coleoptera
Cybocephalus,Cybocephalidae,Coleoptera
Cychramus,Nitidulidae,Coleoptera
Cychrus,Carabidae,Coleoptera
Cyclargus,Lycaenidae,Lepidoptera
Cyclica,Geometridae,Lepidoptera
Cyclocephala,Scarabaeidae,Coleoptera
Cyclodinus,Anthicidae,Coleoptera
Cycloneda,Coccinellidae,Coleoptera
Cyclophora,Geometridae,Lepidoptera
Cycloptilum,Mogoplistidae,Orthoptera
Cyclotelus,Therevidae,Diptera
Cyclotrachelus,Carabidae,Coleoptera
Cyclotrypema,Chrysomelidae,Coleoptera
Cycnia,Erebidae,Lepidoptera
Cydia,Tortricidae,Lepidoptera
Cydnoides,Thyreocoridae,Hemiptera
Cydnus,Cydnidae,Hemiptera
Cydosia,Noctuidae,Lepidoptera
Cylapus,Miridae,Hemiptera
Cylas,Brentidae,Coleoptera
Cylindera,Carabidae,Coleoptera
Cylindridia,Curculionidae,Coleoptera
Cylindrocopturus,Curculionidae,Coleoptera
Cylindromyia,Tachinidae,Diptera
Cyllodes,Nitidulidae,Coleoptera
Cyllopsis,Nymphalidae,Lepidoptera
Cymaenes,Hesperiidae,Lepidoptera
Cymatodera,Cleridae,Coleoptera
Cymatophora,Geometridae,Lepidoptera
Cymbiodyta,Hydrophilidae,Coleoptera
Cymindis,Carabidae,Coleoptera
Cymodema,Cymidae,Hemiptera
Cymoninus,Ninidae,Hemiptera
Cymus,Cymidae,Hemiptera
Cynaeus,Tenebrionidae,Coleoptera
Cynips,Cynipidae,Hymenoptera
Cynomya,Calliphoridae,Diptera
Cynorhinella,Syrphidae,Diptera
Cyphocleonus,Curculionidae,Coleoptera
Cyphoderris,Prophalangopsidae,Orthoptera
Cyphomyia,Stratiomyidae,Diptera
Cyphomyrmex,Formicidae,Hymenoptera
Cyphonotida,Cerambycidae,Coleoptera
Cyrpoptus,Fulgoridae,Hemiptera
Cyrtepistomus,Curculionidae,Coleoptera
Cyrtinus,Cerambycidae,Coleoptera
Cyrtolobus,Membracidae,Hemiptera
Cyrtomenus,Cydnidae,Hemiptera
Cyrtomoptera,Cantharidae,Coleoptera
Cyrtophleba,Tachinidae,Diptera
Cyrtophorus,Cerambycidae,Coleoptera
Cyrtophyllicus,Tettigoniidae,Orthoptera
Cyrtopogon,Asilidae,Diptera
Cyrtorhinus,Miridae,Hemiptera
Cyrtoxipha,Gryllidae,Orthoptera
Cysteodemus,Meloidae,Coleoptera
Cystiphora,Cecidomyiidae,Diptera
Cytilus,Byrrhidae,Coleoptera
Dacne,Erotylidae,Coleoptera
Dactylolabis,Limoniidae,Diptera
Dactylopius,Dactylopiidae,Hemiptera
Dactylosternum,Hydrophilidae,Coleoptera
Dactylotum,Acrididae,Orthoptera
Dafa,Oecophoridae,Lepidoptera
Dagbertus,Miridae,Hemiptera
Dahana,Erebidae,Lepidoptera
Dahlica,Psychidae,Lepidoptera
Daihinibaenetes,Rhaphidophoridae,Orthoptera
Daktulosphaira,Phylloxeridae,Hemiptera
Dalcerides,Dalceridae,Lepidoptera
Dalopius,Elateridae,Coleoptera
Danaus,Nymphalidae,Lepidoptera
Danepteryx,Tropiduchidae,Hemiptera
Danosoma,Elateridae,Coleoptera
Darapsa,Sphingidae,Lepidoptera
Dargida,Noctuidae,Lepidoptera
Dascillus,Dascillidae,Coleoptera
Dasineura,Cecidomyiidae,Diptera
Dasyblemma,Erebidae,Lepidoptera
Dasychira,Erebidae,Lepidoptera
Dasyfidonia,Geometridae,Lepidoptera
Dasylechia,Asilidae,Diptera
Dasylophia,Notodontidae,Lepidoptera
Dasymutilla,Mutillidae,Hymenoptera
Dasypyga,Pyralidae,Lepidoptera
Dasyrhadus,Melyridae,Coleoptera
Dasysyrphus,Syrphidae,Diptera
Dasytastes,Melyridae,Coleoptera
Dasytes,Melyridae,Coleoptera
Datana,Notodontidae,Lepidoptera
Daulia,Crambidae,Lepidoptera
Daviscardia,Tineidae,Lepidoptera
Decantha,Oecophoridae,Lepidoptera
Decaturia,Pyralidae,Lepidoptera
Decinea,Hesperiidae,Lepidoptera
Decodes,Tortricidae,Lepidoptera
Dectes,Cerambycidae,Coleoptera
Decticita,Tettigoniidae,Orthoptera
Deidamia,Sphingidae,Lepidoptera
Deilelater,Elateridae,Coleoptera
Deilephila,Sphingidae,Lepidoptera
Deinopa,Erebidae,Lepidoptera
Deinopteroloma,Staphylinidae,Coleoptera
Dejongia,Pterophoridae,Lepidoptera
Deleaster,Staphylinidae,Coleoptera
Delia,Anthomyiidae,Diptera
Delochilocoris,Rhyparochromidae,Hemiptera
Deloyala,Chrysomelidae,Coleoptera
Delphacodes,Delphacidae,Hemiptera
Delphastus,Coccinellidae,Coleoptera
Delphinia,Ulidiidae,Diptera
Delta,Vespidae,Hymenoptera
Deltanus,Cicadellidae,Hemiptera
Deltaspis,Cerambycidae,Coleoptera
Deltocephalus,Cicadellidae,Hemiptera
Deltochilum,Scarabaeidae,Coleoptera
Deltometopus,Eucnemidae,Coleoptera
Deltophora,Gelechiidae,Lepidoptera
Deltote,Noctuidae,Lepidoptera
Demotina,Chrysomelidae,Coleoptera
Dendrobiella,Bostrichidae,Coleoptera
Dendrocerus,Megaspilidae,Hymenoptera
Dendrocoris,Pentatomidae,Hemiptera
Dendroctonus,Curculionidae,Coleoptera
Dendroides,Pyrochroidae,Coleoptera
Dendroleon,Myrmeleontidae,Neuroptera
Dendrotettix,Acrididae,Orthoptera
Denisia,Oecophoridae,Lepidoptera
Denticollis,Elateridae,Coleoptera
Deporaus,Attelabidae,Coleoptera
Depressaria,Depressariidae,Lepidoptera
Deraeocoris,Miridae,Hemiptera
Derelomus,Curculionidae,Coleoptera
Derephysia,Tingidae,Hemiptera
Dermestes,Dermestidae,Coleoptera
Derobrachus,Cerambycidae,Coleoptera
Derocrepis,Chrysomelidae,Coleoptera
Derodontus,Derodontidae,Coleoptera
Derospidea,Chrysomelidae,Coleoptera
Derotmema,Acrididae,Orthoptera
Derrima,Noctuidae,Lepidoptera
Desmia,Crambidae,Lepidoptera
Desmiphora,Cerambycidae,Coleoptera
Desmocerus,Cerambycidae,Coleoptera
Desmometopa,Milichiidae,Diptera
Destutia,Geometridae,Lepidoptera
Deuterollyta,Pyralidae,Lepidoptera
Deuterophysa,Crambidae,Lepidoptera
Diabrotica,Chrysomelidae,Coleoptera
Diachlorus,Tabanidae,Diptera
Diachorisia,Tineidae,Lepidoptera
Diachrysia,Noctuidae,Lepidoptera
Diachus,Chrysomelidae,Coleoptera
Diacme,Crambidae,Lepidoptera
Diacrita,Ulidiidae,Diptera
Diadasia,Apidae,Hymenoptera
Diadegma,Ichneumonidae,Hymenoptera
Diaditus,Reduviidae,Hemiptera
Diaethria,Nymphalidae,Lepidoptera
Dialectica,Gracillariidae,Lepidoptera
Dialeurodes,Aleyrodidae,Hemiptera
Dialysis,Xylophagidae,Diptera
Dialytes,Scarabaeidae,Coleoptera
Dianthidium,Megachilidae,Hymenoptera
Diaperis,Tenebrionidae,Coleoptera
Diaphania,Crambidae,Lepidoptera
Diapheromera,Diapheromeridae,Phasmida
Diaphorina,Liviidae,Hemiptera
Diaprepes,Curculionidae,Coleoptera
Diarsia,Noctuidae,Lepidoptera
Diasemiodes,Crambidae,Lepidoptera
Diasemiopsis,Crambidae,Lepidoptera
Diastema,Noctuidae,Lepidoptera
Diastictis,Crambidae,Lepidoptera
Diastrophus,Cynipidae,Hymenoptera
Diathrausta,Crambidae,Lepidoptera
Diatraea,Crambidae,Lepidoptera
Dibolia,Chrysomelidae,Coleoptera
Dicaelus,Carabidae,Coleoptera
Dicerca,Buprestidae,Coleoptera
Diceroprocta,Cicadidae,Hemiptera
Dichagyris,Noctuidae,Lepidoptera
Dicheirotrichus,Carabidae,Coleoptera
Dicheirus,Carabidae,Coleoptera
Dichelia,Tortricidae,Lepidoptera
Dichelonyx,Scarabaeidae,Coleoptera
Dichelotarsus,Cantharidae,Coleoptera
Dichogama,Crambidae,Lepidoptera
Dichomeris,Gelechiidae,Lepidoptera
Dichopetala,Tettigoniidae,Orthoptera
Dichorda,Geometridae,Lepidoptera
Dichordophora,Geometridae,Lepidoptera
Dichotomius,Scarabaeidae,Coleoptera
Dichromorpha,Acrididae,Orthoptera
Dichrooscytus,Miridae,Hemiptera
Dichroplus,Acrididae,Orthoptera
Dichrorampha,Tortricidae,Lepidoptera
Diclidophlebia,Liviidae,Hemiptera
Dicogaster,Lasiocampidae,Lepidoptera
Dicosmoecus,Limnephilidae,Trichoptera
Dicraeus,Chloropidae,Diptera
Dicrepidius,Elateridae,Coleoptera
Dicromantispa,Mantispidae,Neuroptera
Dictya,Sciomyzidae,Diptera
Dictyla,Tingidae,Hemiptera
Dictyobia,Tropiduchidae,Hemiptera
Dictyonia,Tropiduchidae,Hemiptera
Dictyonissus,Tropiduchidae,Hemiptera
Dictyoptera,Lycidae,Coleoptera
Dictyssa,Tropiduchidae,Hemiptera
Dicymolomia,Crambidae,Lepidoptera
Dicyphus,Miridae,Hemiptera
Didasys,Erebidae,Lepidoptera
Didea,Syrphidae,Diptera
Didugua,Notodontidae,Lepidoptera
Didymops,Macromiidae,Odonata
Diedra,Tortricidae,Lepidoptera
Diestrammena,Rhaphidophoridae,Orthoptera
Dieuches,Rhyparochromidae,Hemiptera
Dieunomia,Halictidae,Hymenoptera
Dieuryneura,Stratiomyidae,Diptera
Digitonthophagus,Scarabaeidae,Coleoptera
Diglotta,Staphylinidae,Coleoptera
Digrammia,Geometridae,Lepidoptera
Dikrella,Cicadellidae,Hemiptera
Dilophus,Bibionidae,Diptera
Dimorphopteryx,Tenthredinidae,Hymenoptera
Dinacoma,Scarabaeidae,Coleoptera
Dinapate,Bostrichidae,Coleoptera
Dinera,Tachinidae,Diptera
Dineutus,Gyrinidae,Coleoptera
Dinocampus,Braconidae,Hymenoptera
Dinothenarus,Staphylinidae,Coleoptera
Dinumma,Erebidae,Lepidoptera
Dioctria,Asilidae,Diptera
Diogmites,Asilidae,Diptera
Diolcogaster,Braconidae,Hymenoptera
Diolcus,Scutelleridae,Hemiptera
Diomus,Coccinellidae,Coleoptera
Dione,Nymphalidae,Lepidoptera
Dioprosopa,Syrphidae,Diptera
Diorhabda,Chrysomelidae,Coleoptera
Dioryctria,Pyralidae,Lepidoptera
Dioxyna,Tephritidae,Diptera
Dioxys,Megachilidae,Hymenoptera
Dipalta,Bombyliidae,Diptera
Diphetor,Baetidae,Ephemeroptera
Diphthera,Nolidae,Lepidoptera
Diphyus,Ichneumonidae,Hymenoptera
Diplazon,Ichneumonidae,Hymenoptera
Diplectrona,Hydropsychidae,Trichoptera
Diplocladius,Chironomidae,Diptera
Diplocolenus,Cicadellidae,Hemiptera
Diplolepis,Cynipidae,Hymenoptera
Diploschizia,Glyphipterigidae,Lepidoptera
Diplostethus,Elateridae,Coleoptera
Diplotaxis,Scarabaeidae,Coleoptera
Dipogon,Pompilidae,Hymenoptera
Diprion,Diprionidae,Hymenoptera
Dipropus,Elateridae,Coleoptera
Diptychophora,Crambidae,Lepidoptera
Diradops,Ichneumonidae,Hymenoptera
Dircaea,Melandryidae,Coleoptera
Dirrhagofarsus,Eucnemidae,Coleoptera
Disclisioprocta,Geometridae,Lepidoptera
Discodon,Cantharidae,Coleoptera
Discomyza,Ephydridae,Diptera
Disholcaspis,Cynipidae,Hymenoptera
Disonycha,Chrysomelidae,Coleoptera
Dissosteira,Acrididae,Orthoptera
Distremocephalus,Phengodidae,Coleoptera
Ditemnus,Cantharidae,Coleoptera
Ditula,Tortricidae,Lepidoptera
Ditylus,Oedemeridae,Coleoptera
Diversinervus,Encyrtidae,Hymenoptera
Diviana,Pyralidae,Lepidoptera
Doa,Doidae,Lepidoptera
Dolba,Sphingidae,Lepidoptera
Doldina,Reduviidae,Hemiptera
Doleromorpha,Undetermined-idae,Lepidoptera
Dolerosomus,Elateridae,Coleoptera
Dolerus,Tenthredinidae,Hymenoptera
Dolichoderus,Formicidae,Hymenoptera
Dolichomitus,Ichneumonidae,Hymenoptera
Dolichopus,Dolichopodidae,Diptera
Dolichovespula,Vespidae,Hymenoptera
Dolocucullia,Noctuidae,Lepidoptera
Dolophilodes,Philopotamidae,Trichoptera
Donacaula,Crambidae,Lepidoptera
Donacia,Chrysomelidae,Coleoptera
Donus,Curculionidae,Coleoptera
Doratura,Cicadellidae,Hemiptera
Dorcaschema,Cerambycidae,Coleoptera
Dorcasina,Cerambycidae,Coleoptera
Dorcasta,Cerambycidae,Coleoptera
Dorcus,Lucanidae,Coleoptera
Dorithia,Tortricidae,Lepidoptera
Dorocordulia,Corduliidae,Odonata
Doros,Syrphidae,Diptera
Doru,Forficulidae,Dermaptera
Dorymyrmex,Formicidae,Hymenoptera
Doryodes,Erebidae,Lepidoptera
Dorypteryx,Psyllipsocidae,Psocodea
Dorytomus,Curculionidae,Coleoptera
Doxocopa,Nymphalidae,Lepidoptera
Dracotettix,Acrididae,Orthoptera
Draeculacephala,Cicadellidae,Hemiptera
Dragonana,Cicadellidae,Hemiptera
Drapetes,Elateridae,Coleoptera
Drasteria,Erebidae,Lepidoptera
Drepana,Drepanidae,Lepidoptera
Drepanaphis,Aphididae,Hemiptera
Drepanosiphum,Aphididae,Hemiptera
Drepanulatrix,Geometridae,Lepidoptera
Dromaeolus,Eucnemidae,Coleoptera
Dromius,Carabidae,Coleoptera
Dromochorus,Carabidae,Coleoptera
Dromogomphus,Gomphidae,Odonata
Drosophila,Drosophilidae,Diptera
Drunella,Ephemerellidae,Ephemeroptera
Dryadaula,Dryadaulidae,Lepidoptera
Dryadula,Nymphalidae,Lepidoptera
Dryas,Nymphalidae,Lepidoptera
Dryinus,Dryinidae,Hymenoptera
Drymoana,Glyphipterigidae,Lepidoptera
Drymus,Rhyparochromidae,Hemiptera
Dryobius,Cerambycidae,Coleoptera
Dryocampa,Saturniidae,Lepidoptera
Dryocoetes,Curculionidae,Coleoptera
Dryocosmus,Cynipidae,Hymenoptera
Dryomyza,Dryomyzidae,Diptera
Dryophilodes,Ptinidae,Coleoptera
Dryophthorus,Curculionidae,Coleoptera
Dryotype,Noctuidae,Lepidoptera
Duboisius,Anthicidae,Coleoptera
Dufourea,Halictidae,Hymenoptera
Duponchelia,Crambidae,Lepidoptera
Durrantia,Depressariidae,Lepidoptera
Dusona,Ichneumonidae,Hymenoptera
Dyctidea,Tropiduchidae,Hemiptera
Dynamine,Nymphalidae,Lepidoptera
Dynastes,Scarabaeidae,Coleoptera
Dyotopasta,Tineidae,Lepidoptera
Dypterygia,Noctuidae,Lepidoptera
Dyschirius,Carabidae,Coleoptera
Dyscinetus,Scarabaeidae,Coleoptera
Dyscrasis,Ulidiidae,Diptera
Dysdercus,Pyrrhocoridae,Hemiptera
Dyseriocrania,Eriocraniidae,Lepidoptera
Dysimia,Derbidae,Hemiptera
Dyslobus,Curculionidae,Coleoptera
Dysmicohermes,Corydalidae,Megaloptera
Dysodia,Thyrididae,Lepidoptera
Dyspteris,Geometridae,Lepidoptera
Dyspyralis,Erebidae,Lepidoptera
Dysschema,Erebidae,Lepidoptera
Dysstroma,Geometridae,Lepidoptera
Dystaxia,Schizopodidae,Coleoptera
Dythemis,Libellulidae,Odonata
Dytiscus,Dytiscidae,Coleoptera
Eacles,Saturniidae,Lepidoptera
Eana,Tortricidae,Lepidoptera
Eantis,Hesperiidae,Lepidoptera
Earinus,Braconidae,Hymenoptera
Eblisia,Histeridae,Coleoptera
Eburia,Cerambycidae,Coleoptera
Eccoptura,Perlidae,Plecoptera
Eccritosia,Asilidae,Diptera
Ecdyonurus,Heptageniidae,Ephemeroptera
Ecdytolopha,Tortricidae,Lepidoptera
Echidnophaga,Pulicidae,Siphonaptera
Echinargus,Lycaenidae,Lepidoptera
Echinothrips,Thripidae,Thysanoptera
Echmepteryx,Lepidopsocidae,Psocodea
Echthodopa,Asilidae,Diptera
Echthrus,Ichneumonidae,Hymenoptera
Ecliptopera,Geometridae,Lepidoptera
Ecpyrrhorrhoe,Crambidae,Lepidoptera
Ectemnius,Crabronidae,Hymenoptera
Ectobius,Ectobiidae,Blattodea
Ectoedemia,Nepticulidae,Lepidoptera
Ectopimorpha,Ichneumonidae,Hymenoptera
Ectopiocerus,Miridae,Hemiptera
Ectopria,Psephenidae,Coleoptera
Ectopsocopsis,Ectopsocidae,Psocodea
Ectopsocus,Ectopsocidae,Psocodea
Ectropis,Geometridae,Lepidoptera
Ectypia,Erebidae,Lepidoptera
Ecyrus,Cerambycidae,Coleoptera
Edessa,Pentatomidae,Hemiptera
Edrotes,Tenebrionidae,Coleoptera
Edwardsiana,Cicadellidae,Hemiptera
Efferia,Asilidae,Diptera
Ega,Carabidae,Coleoptera
Egira,Noctuidae,Lepidoptera
Egius,Coccinellidae,Coleoptera
Eido,Oecophoridae,Lepidoptera
Elachista,Elachistidae,Lepidoptera
Elaphidion,Cerambycidae,Coleoptera
Elaphria,Noctuidae,Lepidoptera
Elaphrus,Carabidae,Coleoptera
Elasmia,Notodontidae,Lepidoptera
Elasmopalpus,Pyralidae,Lepidoptera
Elasmostethus,Acanthosomatidae,Hemiptera
Elasmucha,Acanthosomatidae,Hemiptera
Elassoptes,Curculionidae,Coleoptera
Elater,Elateridae,Coleoptera
Elateropsis,Cerambycidae,Coleoptera
Electrostrymon,Lycaenidae,Lepidoptera
Eleodes,Tenebrionidae,Coleoptera
Elephantomyia,Limoniidae,Diptera
Elgiva,Sciomyzidae,Diptera
Elipsocus,Elipsocidae,Psocodea
Ellabella,Copromorphidae,Lepidoptera
Ellescus,Curculionidae,Coleoptera
Ellida,Notodontidae,Lepidoptera
Ellipes,Tridactylidae,Orthoptera
Ellipsoptera,Carabidae,Coleoptera
Ellychnia,Lampyridae,Coleoptera
Elonus,Aderidae,Coleoptera
Elophila,Crambidae,Lepidoptera
Elymiotis,Notodontidae,Lepidoptera
Elytrimitatrix,Cerambycidae,Coleoptera
Elytroleptus,Cerambycidae,Coleoptera
Emarginea,Noctuidae,Lepidoptera
Emariannia,Noctuidae,Lepidoptera
Ematurga,Geometridae,Lepidoptera
Embaphion,Tenebrionidae,Coleoptera
Emblethis,Rhyparochromidae,Hemiptera
Embola,Heliodinidae,Lepidoptera
Emesaya,Reduviidae,Hemiptera
Emesis,Riodinidae,Lepidoptera
Emmelina,Pterophoridae,Lepidoptera
Emmesa,Melandryidae,Coleoptera
Empicoris,Reduviidae,Hemiptera
Empis,Empididae,Diptera
Empoa,Cicadellidae,Hemiptera
Empoasca,Cicadellidae,Hemiptera
Empyreuma,Erebidae,Lepidoptera
Enallagma,Coenagrionidae,Odonata
Enaphalodes,Cerambycidae,Coleoptera
Enargia,Noctuidae,Lepidoptera
Enarmonia,Tortricidae,Lepidoptera
Encarsia,Aphelinidae,Hymenoptera
Enchenopa,Membracidae,Hemiptera
Enchodes,Melandryidae,Coleoptera
Enchoria,Geometridae,Lepidoptera
Enchrysa,Gelechiidae,Lepidoptera
Encoptolophus,Acrididae,Orthoptera
Encyclops,Cerambycidae,Coleoptera
Encyrtus,Encyrtidae,Hymenoptera
Endeitoma,Zopheridae,Coleoptera
Endelomyia,Tenthredinidae,Hymenoptera
Endeodes,Melyridae,Coleoptera
Endochironomus,Chironomidae,Diptera
Endomychus,Endomychidae,Coleoptera
Endothenia,Tortricidae,Lepidoptera
Endria,Cicadellidae,Hemiptera
Endrosis,Oecophoridae,Lepidoptera
Engytatus,Miridae,Hemiptera
Enicmus,Latridiidae,Coleoptera
Enicospilus,Ichneumonidae,Hymenoptera
Enigmogramma,Noctuidae,Lepidoptera
Ennomos,Geometridae,Lepidoptera
Enochrus,Hydrophilidae,Coleoptera
Enoclerus,Cleridae,Coleoptera
Enoploderes,Cerambycidae,Coleoptera
Entephria,Geometridae,Lepidoptera
Entomoscelis,Chrysomelidae,Coleoptera
Entylia,Membracidae,Hemiptera
Entypus,Pompilidae,Hymenoptera
Enyo,Sphingidae,Lepidoptera
Enypia,Geometridae,Lepidoptera
Eoparargyractis,Crambidae,Lepidoptera
Eoreuma,Crambidae,Lepidoptera
Eosphoropteryx,Noctuidae,Lepidoptera
Eotettix,Acrididae,Orthoptera
Epalpus,Tachinidae,Diptera
Epargyreus,Hesperiidae,Lepidoptera
Epelis,Geometridae,Lepidoptera
Epeoloides,Apidae,Hymenoptera
Epeolus,Apidae,Hymenoptera
Epeorus,Heptageniidae,Ephemeroptera
Epermenia,Epermeniidae,Lepidoptera
Ephedrus,Braconidae,Hymenoptera
Ephemera,Ephemeridae,Ephemeroptera
Ephemerella,Ephemerellidae,Ephemeroptera
Ephestia,Pyralidae,Lepidoptera
Ephestiodes,Pyralidae,Lepidoptera
Ephistemus,Cryptophagidae,Coleoptera
Ephoron,Polymitarcyidae,Ephemeroptera
Ephydra,Ephydridae,Diptera
Ephyriades,Hesperiidae,Lepidoptera
Epiaeschna,Aeshnidae,Odonata
Epiblema,Tortricidae,Lepidoptera
Epicaerus,Curculionidae,Coleoptera
Epicallima,Oecophoridae,Lepidoptera
Epicauta,Meloidae,Coleoptera
Epicephala,Gracillariidae,Lepidoptera
Epicorsia,Crambidae,Lepidoptera
Epidemas,Noctuidae,Lepidoptera
Epidromia,Erebidae,Lepidoptera
Epiglaea,Noctuidae,Lepidoptera
Epilachna,Coccinellidae,Coleoptera
Epilechia,Gelechiidae,Lepidoptera
Epimartyria,Micropterigidae,Lepidoptera
Epimecis,Geometridae,Lepidoptera
Epinotia,Tortricidae,Lepidoptera
Epipagis,Crambidae,Lepidoptera
Epipaschia,Pyralidae,Lepidoptera
Epiphile,Nymphalidae,Lepidoptera
Epiphragma,Limoniidae,Diptera
Epiphyas,Tortricidae,Lepidoptera
Epipocus,Endomychidae,Coleoptera
Epipompilus,Pompilidae,Hymenoptera
Epirrhoe,Geometridae,Lepidoptera
Epirrita,Geometridae,Lepidoptera
Episcepsis,Erebidae,Lepidoptera
Episemasia,Geometridae,Lepidoptera
Episimus,Tortricidae,Lepidoptera
Epistrophe,Syrphidae,Diptera
Epistrophella,Syrphidae,Diptera
Episyron,Pompilidae,Hymenoptera
Epitausa,Erebidae,Lepidoptera
Epitheca,Corduliidae,Odonata
Epitrix,Chrysomelidae,Coleoptera
Epuraea,Nitidulidae,Coleoptera
Erannis,Geometridae,Lepidoptera
Erasmoneura,Cicadellidae,Hemiptera
Erastria,Geometridae,Lepidoptera
Eratoneura,Cicadellidae,Hemiptera
Ercta,Crambidae,Lepidoptera
Erebia,Nymphalidae,Lepidoptera
Erechthias,Tineidae,Lepidoptera
Eremnophila,Sphecidae,Hymenoptera
Eremobina,Noctuidae,Lepidoptera
Eremoblatta,Corydiidae,Blattodea
Eremochrysa,Chrysopidae,Neuroptera
Eremocoris,Rhyparochromidae,Hemiptera
Eremopedes,Tettigoniidae,Orthoptera
Eretes,Dytiscidae,Coleoptera
Ericrocis,Apidae,Hymenoptera
Ericydeus,Curculionidae,Coleoptera
Erinnyis,Sphingidae,Lepidoptera
Eriocampa,Tenthredinidae,Hymenoptera
Eriococcus,Eriococcidae,Hemiptera
Eriocrania,Eriocraniidae,Lepidoptera
Eriocraniella,Eriocraniidae,Lepidoptera
Erioptera,Limoniidae,Diptera
Eriosoma,Aphididae,Hemiptera
Eriotremex,Siricidae,Hymenoptera
Eriplatymetra,Geometridae,Lepidoptera
Eristalinus,Syrphidae,Diptera
Eristalis,Syrphidae,Diptera
Eritettix,Acrididae,Orthoptera
Eronyxa,Trogossitidae,Coleoptera
Eropterus,Lycidae,Coleoptera
Erora,Lycaenidae,Lepidoptera
Eros,Lycidae,Coleoptera
Erotides,Lycidae,Coleoptera
Erpetogomphus,Gomphidae,Odonata
Ersephila,Geometridae,Lepidoptera
Erynnis,Hesperiidae,Lepidoptera
Erythemis,Libellulidae,Odonata
Erythridula,Cicadellidae,Hemiptera
Erythrodiplax,Libellulidae,Odonata
Erythroneura,Cicadellidae,Hemiptera
Erythrothrips,Aeolothripidae,Thysanoptera
Escaria,Noctuidae,Lepidoptera
Eschatocrepis,Melyridae,Coleoptera
Esperanza,Alydidae,Hemiptera
Esperia,Oecophoridae,Lepidoptera
Esselenia,Acrididae,Orthoptera
Essigella,Aphididae,Hemiptera
Essostrutha,Cerambycidae,Coleoptera
Esthesopus,Elateridae,Coleoptera
Estigmene,Erebidae,Lepidoptera
Ethmia,Depressariidae,Lepidoptera
Etiella,Pyralidae,Lepidoptera
Euacidalia,Geometridae,Lepidoptera
Euaesthetus,Staphylinidae,Coleoptera
Euamiana,Noctuidae,Lepidoptera
Euaontia,Erebidae,Lepidoptera
